Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,1
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,10
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,10
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,11
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,14
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,19
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,31
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,32
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,39
2014,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,40
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,42
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,48
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,International,A,48
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,G,50
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Deplaned,Other,International,A,52
2009,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,62
2008,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,International,A,66
2014,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,67
2006,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,International,A,85
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,100
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,A,117
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,International,A,119
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,A,124
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,127
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,International,A,138
2016,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,146
2016,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,146
2018,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,A,152
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,158
2018,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,164
2018,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,A,166
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Thru / Transit,Other,International,A,169
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Thru / Transit,Other,International,A,182
2006,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 3,E,190
2007,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,201
2018,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Other,International,G,203
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Deplaned,Other,International,A,226
2018,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,A,236
2018,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,A,236
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Deplaned,Other,International,A,239
2018,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,A,249
2018,French Bee,BF,French Bee,BF,International,Europe,Enplaned,Other,International,A,262
2018,French Bee,BF,French Bee,BF,International,Europe,Enplaned,Other,International,A,280
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,A,302
2018,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,307
2015,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,315
2017,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,318
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,A,328
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,A,350
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Deplaned,Other,International,G,361
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Thru / Transit,Other,International,A,375
2018,French Bee,BF,French Bee,BF,International,Australia / Oceania,Enplaned,Other,International,G,384
2016,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,411
2016,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,411
2007,Spirit Airlines,NK,Spirit Airlines,NK,Domestic,US,Deplaned,Low Fare,International,A,412
2018,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,A,416
2007,ATA Airlines,TZ,ATA Airlines,TZ,International,Canada,Enplaned,Low Fare,International,A,423
2011,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,G,443
2018,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,457
2010,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,463
2011,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,G,480
2009,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,481
2017,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,482
2017,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,482
2018,French Bee,BF,French Bee,BF,International,Europe,Enplaned,Other,International,A,540
2018,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,A,548
2009,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,549
2010,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,Terminal 1,B,553
2018,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,A,566
2007,Spirit Airlines,NK,Spirit Airlines,NK,Domestic,US,Enplaned,Low Fare,International,A,571
2018,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,G,592
2009,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,596
2008,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,599
2018,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,603
