Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight
2006,Xtra Airways,XP,Xtra Airways,XP,Domestic,US,Passenger,Narrow Body,Boeing,737,400,1,124000
2007,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,400,1,121000
2007,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146000
2008,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146000
2008,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146000
2008,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,400,1,121000
2008,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146000
2009,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,2,291984
2011,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,145992
2011,"Air Transport International, LLC.",,"Air Transport International, LLC.",,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-8,-,36,9764000
2011,"Air Transport International, LLC.",,"Air Transport International, LLC.",,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-8,-,20,5262000
2011,"Air Transport International, LLC.",,"Air Transport International, LLC.",,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-8,-,1,275000
2012,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,-,10,2720000
2012,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,-,10,2720000
2012,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,-,21,5712000
