Airline,Charter?,Low Cost?
ATA Airlines,False,True
AirTran Airways,False,True
Frontier Airlines,False,True
Independence Air,False,True
Sun Country Airlines,False,True
Miami Air International,True,False
Spirit Airlines,False,True
Xtra Airways,True,False
Allegiant Air,False,True
Air Berlin,False,True
"Air Transport International, LLC.",True,False
"Atlas Air, Inc",True,False
Redding Aero Enterprises,True,False
WOW Air,False,True
Volaris Airlines,False,True
Thomas Cook Airlines,True,False
Trego Dugan Aviation,True,False
ABC Aerolineas S.A. de C.V. dba Interjet,False,True
French Bee,False,True
Norwegian Air UK Ltd,False,True
FRONTIER AIR,False,True
Atlas Air,True,False
National Airlines,True,False
Pace Airlines,True,False
Ameristar,True,False
